temperature,code,Stress,Time,process,LMP,C
550,MEM,78,43661,Hot Extruded,28508.7971,31.17918054
550,MEN,78,27941.4,Rotary pierced,28349.26224,30.93962606
550,MEG,69,159284,Rotary pierced,28971.38768,30.74446173
550,MEM,69,159284,Hot Extruded,28971.38768,30.73337417
550,MEN,69,10774.6,Rotary pierced,28008.66615,30.72914663
600,MEB,69,3076.1,Hot Extruded,29235.02439,31.16330064
600,MEC,69,5885.1,Hot Extruded,29480.99511,31.16830063
600,MED,69,4295.8,Rotary pierced,29361.64746,30.86029053
600,MEE,69,5010.5,Hot Extruded,29419.99617,31.13029623
600,MEF,69,2586.7,Rotary pierced,29169.32731,31.14222532
600,MEG,69,3169.7,Hot Extruded,29246.38885,31.3484109
600,MEH,69,5295.5,Hot Extruded,29440.97079,31.02285894
600,MEJ,69,2753.7,Hot Extruded,29193.04721,29.45973525
600,MEL,69,3729.2,Rotary pierced,29308.02048,29.57950537
600,MEM,69,1735.7,Hot Extruded,29018.06138,29.46886116
600,MEN,69,1724.8,Rotary pierced,29015.67292,29.75182716
650,MEB,69,65.4,Hot Extruded,29365.77826,29.96018559
650,MEC,69,88.7,Hot Extruded,29487.9335,29.87801188
650,MED,69,78.2,Rotary pierced,29437.42983,29.96856112
650,MEE,69,92.6,Hot Extruded,29505.18194,29.97046804
650,MEF,69,55.1,Rotary pierced,29297.08293,30.14044768
650,MEG,69,80,Hot Extruded,29446.55206,30.023844
650,MEH,69,84.7,Hot Extruded,29469.43639,29.99063176
650,MEJ,69,65.6,Hot Extruded,29367.00224,30.09297849
650,MEL,69,68.5,Rotary pierced,29384.3424,30.1923182
650,MEM,69,57.2,Hot Extruded,29312.07653,30.06712356
650,MEN,69,57.1,Rotary pierced,29311.37513,29.96349369
600,MEB,61,10758.4,Hot Extruded,29709.71573,31.03677392
600,MEC,61,13721.1,Hot Extruded,29801.94054,30.64767499
600,MED,61,10725.6,Rotary pierced,29708.55805,30.70320348
600,MEE,61,13278.5,Hot Extruded,29789.50909,30.56192002
600,MEF,61,7773.9,Rotary pierced,29586.5278,30.87605271
600,MEG,61,7783.5,Hot Extruded,29586.99571,30.54466211
